Band,Album,Genres,Score
Silver Knife,Unyielding/Unseeing Review,Black Metal,3.0
Incantation,Sect of Vile Divinities Review,Death Metal,3.0
Veonity,Sorrows Review,Power Metal,3.0
Mercyless,The Mother of All Plagues Review,Death Metal,3.0
Midgard,Tales of Kreia Review,"Folk Metal, Power Metal, Viking Metal",3.0
Next Life,Guru Meditation Review,"Chiptune, Grind, Industrial Metal, Mathcore",3.0
Recorruptor,The Funeral Corridor Review,Death Metal,3.0
Töxik Death,Sepulchral Demons Review,"Speed Metal, Thrash Metal",3.0
Awake by Design,Awake by Design Review,"Heavy Metal, Power Metal, Progressive Metal",3.0
Cancer,Opioid Review,Black Metal,3.0
Howling Giant / Sergeant Thunderhoof,Turned to Stone Chapter 2: Masamune & Muramasa Review,"Doom Metal, Stoner Metal, Stoner Rock",3.0
Texas Murder Crew,Everyone’s Last Breath Review,Death Metal,3.0
Onslaught,Generation Antichrist Review,"Groove Metal, Thrash Metal",3.0
High Spirits,Hard to Stop Review,"Heavy Metal, NWOBHM",3.0
Blackballed,Elephant in the Room Review,Hard Rock,3.0
Katalepsy,Terra Mortus Est Review,Death Metal,3.0
Deathstorm,For Dread Shall Reign Review,"Death Metal, Thrash Metal",3.0
Primal Fear,Metal Commando Review,Heavy Metal,3.0
Stonebirds,Collapse and Fail Review,"Post-Metal, Sludge, Stoner Rock",3.0
Valgrind,Condemnation Review,Death Metal,3.0
Catalysis,Connection Lost Review,"Death Metal, Groove Metal, Metalcore",3.0
Domination Black,Judgement IV Review,"Heavy Metal, Power Metal",3.0
Fides Inversa,Historia Nocturna Review,Black Metal,3.0
Temple of Dread,World Sacrifice Review,Death Metal,3.0
MIGHT,MIGHT Review,"Doom Metal, Sludge Metal",3.0
Guardian of Lightning,Cosmos Tree Review,Stoner Metal,3.0
Jet Jaguar,Endless Nights Review,"Glam Metal, Heavy Metal, NWOBHM",3.0
Väki,Kuolleen Maan Omaksi Review,Black Metal,3.0
Enshadowed,Stare into the Abyss Review,"Atmospheric Black Metal, Black Metal",3.0
Bell Witch/Aerial Ruin,Stygian Bough Volume I Review,Folk,3.0
Pessimist,Holdout Review,Thrash Metal,3.0
Pixie Ninja,Colours out of Space Review,"Ambient Metal, Electronica",3.0
Stygian Crown,Stygian Crown Review,Doom Metal,3.0
Vspolokh,Помре Review,"Atmospheric Black Metal, Black Metal",3.0
Aleah,Aleah Review,Not Metal,3.0
Mora Prokaza,By Chance Review,"Black Metal, Neo-Classical Metal, Rap Metal",3.0
Hornwood Fell,Cursed Thoughts – I II Review,"Black Metal, Death Metal",3.0
The Moon and the Nightspirit,Aether Review,"Folk, Not Metal",3.0
Creature,Ex Cathedra Review,Black Metal,3.0
Wino,Forever Gone Review,Folk,3.0
Irae,Lurking in the Depths Review,"Atmospheric Black Metal, Black Metal, Groove Metal, Melodic Black Metal",3.0
Aversio Humanitatis,Behold the Silent Dwellers Review,Black Metal,3.0
Lamb of God,Lamb of God Review,"Groove Metal, Thrash Metal",3.0
October Falls,A Fall of an Epoch Review,"Black Metal, Folk Metal",3.0
Anonymus,La Bestia Review,Thrash Metal,3.0
Nemesium,Continua Review,Death Metal,3.0
Mountaineer,Bloodletting Review,"Doom Metal, Post-Metal, Shoegaze, Sludge",3.0
Many Blessings,Emanation Body Review,Noise,3.0
Everlore,Everlore Review,Power Metal,3.0
Devil with No Name,Devil with No Name Review,Black Metal,3.0
Blight,Temple of Wounds Review,Black Metal,3.0
In the Company of Serpents,Lux Review,Doom Metal,3.0
Shadow in the Darkness,Erstwhile Befell Review,Technical Death Metal,3.0
ACxDC,Satan Is King Review,"Hardcore, Powerviolence",3.0
Mountain Witch,Extinct Cults Review,"Doom Metal, Hard Rock, Heavy Metal",3.0
Carach Angren,Franckensteina Strataemontanus Review,,3.0
Shok Paris,Full Metal Jacket Review,Heavy Metal,3.0
Eyeless in Gaza,Act I: The Protagonist Review,"Ambient Metal, Doom Metal",3.0
Sorcerer,Lamenting of the Innocent Review,"Doom Metal, Heavy Metal",3.0
Sodomisery,The Great Demise Review,"Black Metal, Death Metal, Melodic Black Metal",3.0
Horn,Mohngang Review,"Black Metal, Folk Metal",3.0
Zedi Forder,Isolation (and Zedi Forder Superium – Judgement) Review,"Alt-Metal, Heavy Metal, Progressive Metal",3.0
Ara,Jurisprudence Review,"Death Metal, Technical Death Metal",3.0
Wailin Storms,Rattle Review,,3.0
Gomorra,Divine Judgement Review,"Heavy Metal, Power Metal",3.0
Caligula’s Horse,Rise Radiant Review,"Progressive Metal, Progressive Rock",3.0
Theosophy,Towers of Dark Pantheon Review,Black Metal,3.0
Tyrant,Hereafter Review,"Doom Metal, Heavy Metal",3.0
Sinistral King,Serpent Uncoiling Review,Black Metal,3.0
Azath,Through a Warren of Shadow Review,Death Metal,3.0
Freddy and the Phantoms,A Universe from Nothing Review,Rock,3.0
The Alligator Wine,Demons of the Mind Review,,3.0
Ash Return,The Sharp Blade of Integrity Review,"Hardcore, Heavy Metal, Metalcore",3.0
Hegemony,Enthroned by Persecution Review,"Black Metal, Death Metal",3.0
Armnatt,Dense Fog Review,Black Metal,3.0
Head of the Demon,Deadly Black Doom Review,,3.0
Nyrst,Orsök Review,Black Metal,3.0
Bezwering,Aan De Wormen Overgeleverd Review,Black Metal,3.0
The Ditch and the Delta,The Ditch and the Delta Review,"Doom Metal, Progressive Metal, Sludge Metal",3.0
Blaze of Sorrow,Absentia Review,Black Metal,3.0
Bythos,The Womb of Zero Review,"Black Metal, Blackened Death Metal",3.0
Volturian,Crimson Review,"Electronica Metal, Gothic Metal, Melodic Metal",3.0
Turmion Kätilöt,Global Warning Review,Industrial Metal,3.0
Absolva,Side by Side Review,"Heavy Metal, NWOBHM",3.0
The Black Dahlia Murder,Verminous Review,Melodic Death Metal,3.0
Collision,The Final Kill Review,Hardcore,3.0
Nekrovault,Totenzug: Festering Peregrination Review,"Death Doom, Death Metal",3.0
Spell,Opulent Decay Review,Heavy Metal,3.0
HellgardeN,"Making Noise, Living Fast Review","Groove Metal, Thrash Metal",3.0
Azusa,Loop of Yesterdays Review,Hardcore,3.0
Beggar,Compelled to Repeat Review,"Sludge, Stoner Metal",3.0
Testament,Titans of Creation Review,Thrash Metal,3.0
Wvrm,Colony Collapse Review,,3.0
Demonic Death Judge,The Trail Review,"Folk, Groove Metal, Sludge Metal, Stoner Metal",3.0
Temple of Void,The World That Was Review,"Death Metal, Doom Metal",3.0
Perdition Temple,Sacraments of Descension Review,"Black Metal, Death Metal",3.0
Nite,Darkness Silence Mirror Flame Review,"Black Metal, Heavy Metal",3.0
Aodon,11069 Review,"Atmospheric Black Metal, Black Metal",3.0
No Raza,Transcending Material Sins Review,Death Metal,3.0
Tethra,Empire of the Void Review,,3.0
Master Boot Record,Floppy Disk Overdrive Review,"Doom Metal, Electronic Metal, Synthwave",3.0
Caskets Open,Concrete Realms of Pain Review,"Doom Metal, Hardcore",3.0
The Medea Project,Sisyphus Review,"Doom Metal, Gothic Metal, Sludge",3.0
Heaven Shall Burn,Of Truth & Sacrifice Review,Metalcore,3.0
Ruinas,Ikonoklasta Review,"Crust Punk, Death Metal",3.0
Saltas,Mors Salis: Opus I Review,"Black Metal, Death Metal, Doom Metal",3.0
Wombbath,Choirs of the Fallen Review,Death Metal,3.0
Solitary Sabred,By Fire & Brimstone Review,"Heavy Metal, Power Metal",3.0
Ruin Lust,Choir of Babel Review,"Black Metal, Blackened Death Metal, Death Metal",3.0
Faustian Pact,Outojen Tornien Varjoissa Review,"Atmospheric Black Metal, Black Metal, Folk Metal",3.0
Ross the Boss,Born of Fire Review,Heavy Metal,3.0
Dwaal,Gospel of the Vile Review,"Doom Metal, Post-Metal, Sludge",3.0
My Dying Bride,The Ghost of Orion Review,Doom Metal,3.0
Beast of Revelation,The Ancient Ritual of Death Review,"Death Doom, Death Metal, Doom Metal",3.0
Body Count,Carnivore Review,,3.0
Voidfire,Ogień Pustki Review,Black Metal,3.0
Regarde les Hommes Tomber,Ascension Review,"Black Metal, Sludge",3.0
Ensnared,Inimicus Generis Humani Review,Death Metal,3.0
Shadow Witch,Under the Shadow of a Witch Review,"Doom Metal, Stoner Rock",3.0
Seven Planets,Explorer Review,,3.0
Thoren,Gwarth II Review,"Death Metal, Experimental Metal, Instrumental Metal, Technical Death Metal",3.0
On Thorns I Lay,Threnos Review,"Doom Metal, Melodic Death Metal",3.0
Primeval Mass,Nine Altars Review,"Black Metal, Thrash Metal",3.0
Runescarred,The Distant Infinite Review,"Heavy Metal, Progressive Metal, Thrash Metal",3.0
Lucifuge,The One Great Curse Review,"Black Metal, Thrash Metal",3.0
Maere,I Review,Death Metal,3.0
Dzö-nga,Thunder in the Mountains Review,"Black Metal, Folk Metal",3.0
Miles to Perdition,2084 Review,"Melodic Death Metal, Metalcore",3.0
Serious Black,Suite 226 Review,Power Metal,3.0
Gorevent,Fate Review,Slam,3.0
Moloken,Unveilance of Dark Matter Review,"Death Doom, Doom Metal, Hardcore, Post-Metal, post-punk, Progressive Metal",3.0
Goblinsmoker,"A Throne In Haze, A World Ablaze Review","Doom Metal, Sludge",3.0
Coffin Curse,Ceased to Be Review,Death Metal,3.0
Grey Skies Fallen,Cold Dead Lands Review,"Death Metal, Doom Metal",3.0
Kirk Windstein,Dream in Motion Review,"Psychedelic Rock, Rock",3.0
Reaper,Unholy Nordic Noise Review,"Black Metal, Speed Metal",3.0
Impiety,Versus All Gods Review,"Black Metal, Death Metal",3.0
Rat King,Vicious Inhumanity Review,"Death Metal, Grind, Sludge Metal",3.0
Haunt,Mind Freeze Review,"Heavy Metal, NWOBHM",3.0
Mystic Prophecy,Metal Division Review,"Heavy Metal, Power Metal",3.0
War Dogs,Die By My Sword Review,"Epic Metal, Heavy Metal, NWOBHM",3.0
Israthoum,Arrows from Below Review,Black Metal,3.0
Oath of Cruelty,Summary Execution at Dawn Review,"Death Metal, Thrash Metal",3.0
Magic Kingdom,MetAlmighty Review,Power Metal,3.0
Aggressive Perfector,Havoc at the Midnight Hour Review,Heavy Metal,3.0
Tygers of Pan Tang,Ritual Review,"Heavy Metal, NWOBHM",3.0
Ragnarok,Non Debellicata Review,Black Metal,3.0
Ade,Rise of the Empire Review,"Death Metal, Technical Death Metal",3.0
Charlene Beretah,Ram Review,"Post-Metal, Sludge",3.0
Bölzer,Lese Majesty Review,"Blackened Death Metal, Progressive Metal",3.0
Casket Huffer,Filth Ouroboros Review,"Black Metal, Death Metal",3.0
Terminus,A Single Point of Light Review,Heavy Metal,3.0
Bask,III Review,"Folk, Hard Rock, Psychedelic Rock, Stoner Rock",3.0
GoatHawkBuffalo,Come to Temple Review,,3.0
Nocturnalia,III Winter Review,"Dark Rock, Folk",3.0
Hour of Penance,Misotheism,"Death Metal, Technical Death Metal",3.0
Nevaria,Finally Free Review,,3.0
Purulent Necrosis,Cadaverized Humanity Review,Death Metal,3.0
Orodruin,Ruins of Eternity Review,"Doom Metal, NWOBHM",3.0
Dissorted,The Final Divide Review,Thrash Metal,3.0
Angel Witch,Angel of Light Review,"Heavy Metal, NWOBHM",3.0
Nile,Vile Nilotic Rites Review,"Death Metal, Technical Death Metal",3.0
Paganizer,The Tower of the Morbid Review,Death Metal,3.0
Voyager,Colours in the Sun Review,Progressive Metal,3.0
Rank and Vile,redistribution of flesh. Review,"Death Metal, Powerviolence",3.0
Novembers Doom,Nephilim Grove Review,"Death Metal, Doom Metal",3.0
Timelost,Don’t Remember Me for This Review,"Not Metal, Shoegaze",3.0
Vastum,Orificial Purge Review,Death Metal,3.0
Ethereal Kingdoms,Hollow Mirror Review,Symphonic Metal,3.0
Aegrus,In Manus Satanas Review,Black Metal,3.0
Negator,Vnitas Pvritas Existentia Review,Black Metal,3.0
1349,The Infernal Pathway Review,Black Metal,3.0
War Cloud,State of Shock Review,"Heavy Metal, Thrash Metal",3.0
Screamer,Highway of Heroes Review,Heavy Metal,3.0
Voice of Ruin,Acheron Review,Melodic Death Metal,3.0
Gentihaa,Reverse Entropy Review,"Power Metal, Symphonic Metal",3.0
Shade of Hatred,Reflection on Ruin Review,"Death Metal, Melodic Death Metal",3.0
Torpor,Rhetoric of the Image Review,"Doom Metal, Experimental Metal, Noise, Post-Metal, Sludge",3.0
Toxic Holocaust,Primal Future: 2019 Review,Thrash Metal,3.0
Astrosaur,Obscuroscope Review,Post-Metal,3.0
Iron Kingdom,On the Hunt Review,Heavy Metal,3.0
Monolord,No Comfort Review,"Doom Metal, Stoner Metal",3.0
Entrail,Eater of Starlight Review,,3.0
Excalion,Emotions Review,"Heavy Metal, Power Metal",3.0
Akando,Attack from Ambush Review,Melodic Death Metal,3.0
Opeth,In Cauda Venenum Review,Progressive Rock,3.0
Goatess,Blood and Wine Review,"Doom Metal, Stoner Rock",3.0
Ark Ascent,Downfall Review,"Heavy Metal, Progressive Metal",3.0
aswekeepsearching,Rooh Review,Not Metal,3.0
Bhleg,Äril Review,Black Metal,3.0
Sleeping Ancient,There Is No Truth but Death Review,Black Metal,3.0
Reflex Machine,Interzone Review,"Experimental Metal, Sludge Metal",3.0
Pale Grey Lore,Eschatology Review,Stoner Metal,3.0
Agenda,Apocalyptic Wasteland Blues Review,Crust Punk,3.0
Slaughtbbath,Alchemical Warfare Review,Black Metal,3.0
Foscor,Els Sepulcres Blancs Review,"Black Metal, Doom Metal",3.0
Pinewalker,Migration Review,Sludge,3.0
Crypt Sermon,The Ruins of Fading Light Review,Doom Metal,3.0
Crimson Moon,Mors Vincit Omnia Review,Black Metal,3.0
Vokonis,Grasping Time Review,"Doom Metal, Progressive Metal, Sludge Metal, Stoner Metal",3.0
Keys of Orthanc,A Battle In The Dark Lands of The Eye… Review,Atmospheric Black Metal,3.0
Tenebrae In Perpetuum,Anorexia Obscura Review,Black Metal,3.0
The Fifth Alliance,The Depth of the Darkness Review,"Post-Metal, Sludge",3.0
The Holeum,Sublime Emptiness Review,"Doom Metal, Sludge Metal",3.0
The Road,Reverence Redacted Review,"Doom Metal, Post-Metal, Sludge Metal",3.0
Entombed A.D.,Bowels of Earth Review,Death Metal,3.0
Wrvth,No Rising Son Review,Post-Metal,3.0
Anticosm,The Call of the Void Review,"Black Metal, Melodic Black Metal, Thrash Metal",3.0
Hagzissa,They Ride Along Review,Black Metal,3.0
Detherous,Hacked to Death Review,"Death Metal, Thrash Metal",3.0
The Electric Mud,Burn the Ships Review,"Hard Rock, Stoner Rock",3.0
Waingro,III Review,"Sludge Metal, Stoner Metal",3.0
Deadwood Lake,Immortalised in Death Review,"Atmospheric Black Metal, Black Metal, Melodic Black Metal",3.0
Glacier,No Light Ever Review,Doom Metal,3.0
Killswitch Engage,Atonement Review,Metalcore,3.0
Concrete Winds,Primitive Force Review,"Black Metal, Death Metal",3.0
Suicidal Angels,Years of Aggression Review,Thrash Metal,3.0
The Drippers,Action Rock Review,"Hard Rock, Heavy Metal, Punk",3.0
Humanity’s Last Breath,Abyssal Review,"Death Metal, Deathcore, Djent",3.0
Eradikator,Obscura Review,Heavy Metal,3.0
Carnifex,World War X Review,Deathcore,3.0
Lord,Fallen Idols Review,"Heavy Metal, Power Metal",3.0
Shades of Deep Water,Death’s Threshold Review,,3.0
Mylingar,Döda Själar Review,Death Metal,3.0
Narnia,From Darkness to Light Review,"Heavy Metal, Power Metal, Progressive Metal",3.0
Desert,Fortune Favors the Brave Review,"Heavy Metal, Power Metal",3.0
Sūrya,Solastalgia Review,"Doom Metal, Post-Metal, Sludge",3.0
Disowning,Human Cattle Review,Death Metal,3.0
Wormwood,Nattarvet Review,Black Metal,3.0
Holocausto,Diario de Guerra Review,Black Metal,3.0
SinHeresY,Out of Connection Review,"Power Metal, Progressive Metal, Symphonic Metal",3.0
Thief,Map of Lost Keys Review,"Black Metal, Electronica Metal",3.0
Lavinia,Sallowed Review,Emo,3.0
Rogga Johansson,Entrance to the Otherwhere Review,Death Metal,3.0
Elder,The Gold & Silver Sessions EP,Stoner Metal,3.0
Freighter,The Den Review,Mathcore,3.0
Sabaton,The Great War Review,Heavy Metal,3.0
Gates to the Morning,Return to Earth Review,Post-Metal,3.0
Burial Remains,Trinity of Deception Review,Death Metal,3.0
Arkhaaik,*dʰg̑ʰm̥tós Review,"Doom Metal, Sludge Metal",3.0
Disrupted,The Procrastination of Being Review,Death Metal,3.0
Metalian,Vortex Review,"Heavy Metal, NWOBHM, Speed Metal",3.0
Pattern-Seeking Animals,Pattern-Seeking Animals Review,"Progressive Metal, Progressive Rock",3.0
Murk Rider,Exile of Shadows Review,Black Metal,3.0
Abbath,Outstrider Review,Black Metal,3.0
Itheist,Itheist Review,Black Metal,3.0
Burial in the Woods,Church of Dagon Review,"Death Metal, Doom Metal",3.0
The Projectionist,Visits from the Nighthag Part 2 Review,Black Metal,3.0
Nocturnal Breed,We Only Came for Violence Review,"Black Metal, Thrash Metal",3.0
Holy Tide,Aquila Review,Power Metal,3.0
Temple Koludra,Seven! Sirens! To a Lost Archetype Review,"Blackened Death Metal, Death Metal",3.0
Hell Bent,Apocalyptic Lamentations Review,"Death Metal, Thrash Metal",3.0
Gorilla -Treecreeper Review,,Stoner Metal,3.0
Howling Sycamore,Seven Pathways to Annihilation Review,Progressive Metal,3.0
Lightning Born,Lightning Born Review,"Doom Metal, Heavy Metal, Occult Rock, Retro Metal",3.0
Gygax,High Fantasy Review,Hard Rock,3.0
Slomatics,Canyons Review,"Doom Metal, Sludge Metal",3.0
Sadistic Ritual,Visionaire of Death Review,Thrash Metal,3.0
Tanzwut,Seemannsgarn Review,Folk Metal,3.0
Flub,Flub Review,"Death Metal, Technical Death Metal",3.0
Winterwolf,Lycanthropic Metal of Death Review,Death Metal,3.0
Lykantropi,Spirituosa Review,"Blues, Folk, Progressive Rock, Psychedelic Rock",3.0
Gravefields,Embrace the Void Review,Death Metal,3.0
Enthroned,Cold Black Suns Review,Black Metal,3.0
Esoctrilihum,The Telluric Ashes of the Ö Vrth Immemorial Gods Review,"Black Metal, Death Metal",3.0
Destrage,The Chosen One Review,Metalcore,3.0
Death Angel,Humanicide Review,Thrash Metal,3.0
Nocturnus AD,Paradox Review,Death Metal,3.0
Savage Messiah,Demons Review,"Hard Rock, Heavy Metal",3.0
Fleshgod Apocalypse,Veleno Review,"Death Metal, Melodic Death Metal",3.0
Nihility,Thus Spoke the Antichrist Review,"Black Metal, Death Metal",3.0
Destroyer of Light,Mors Aeterna Review,Doom Metal,3.0
Stormlord,Far Review,"Black Metal, Blackened Death Metal, Death Metal, Melodic Death Metal",3.0
Haunt,If Icarus Could Fly Review,"Heavy Metal, NWOBHM",3.0
Mettadone,Rotten Flattery Review,Death Metal,3.0
Monasterium,Church of Bones Review,Doom Metal,3.0
Murdryck,Födelsen Review,Black Metal,3.0
Possessed,Revelations of Oblivion Review,"Death Metal, Thrash Metal",3.0
Helheim,Rignir Review,"Black Metal, Viking Metal",3.0
Warforged,"I, Voice Review","Blackened Death Metal, Death Metal, Progressive Metal",3.0
Whiskey Ritual,Black Metal Ultras Review,"Black Metal, Rock, Thrash Metal",3.0
Altar of Oblivion,The Seven Spirits Review,"Doom Metal, Heavy Metal",3.0
Paragon,Controlled Demolition Review,Heavy Metal,3.0
Sins of the Damned,Striking the Bell of Death Review,"Speed Metal, Thrash Metal",3.0
Smoulder,Times of Obscene Evil and Wild Daring Review,Doom Metal,3.0
Avandra,Descender Review,"Epic Metal, Progressive Metal",3.0
Shotgun Sawyer,Bury the Hatchet Review,Hard Rock,3.0
Chalice of Suffering,Lost Eternally Review,"Death Doom, Doom Metal, Funeral Doom",3.0
Sabbath Assembly,A Letter of Red Review,Occult Rock,3.0
CLEARxCUT,For the Wild at Heart Kept in Cages Review,,3.0
2 Wolves,…Our Fault Review,"Doom Metal, Gothic Metal",3.0
Sacrilegia,The Triclavian Advent Review,"Black Metal, Thrash Metal",3.0
Cities of Mars,The Horologist Review,"Doom Metal, Sludge Metal",3.0
Final Coil,The World We Left Behind for Others Review,Alt-Metal,3.0
Applaud the Impaler,Ov Apocalypse Incarnate Review,"Deathcore, Technical Death Metal",3.0
Flykt,Charnel Heart Review,Black Metal,3.0
Falaise,A Place I Don’t Belong To Review,"Black Metal, Post-Metal",3.0
The Black Moriah,Road Agents of the Blast Furnace Review,"Black Metal, Thrash Metal",3.0
Orpheus Omega,Wear Your Sins Review,,3.0
Frozen Crown,Crowned in Frost Review,"Melodic Death Metal, Power Metal",3.0
Predatoria,Casting Shadows Review,"Death Metal, Melodic Death Metal",3.0
Stonecast,I Earther Review,Heavy Metal,3.0
Ringarë,Under Pale Moon Review,Black Metal,3.0
The Mute Gods,Atheists & Believers Review,Progressive Rock,3.0
Black Therapy,Echoes of Dying Memories Review,"Death Doom, Melodic Death Metal",3.0
Bloodbound,Rise of the Dragon Empire Review,Power Metal,3.0
Omicida,Defrauded Reign Review,Thrash Metal,3.0
Hot Lunch,Seconds Review,Stoner Metal,3.0
Noisem,Cease to Exist Review,"Grind, Thrash Metal",3.0
Contrarian,Their Worm Never Dies Review,"Death Metal, Progressive Metal",3.0
Twisted Tower Dire,Wars in the Unknown Review,Heavy Metal,3.0
Wendigo,Wasteland Stories Review,"Stoner Metal, Stoner Rock",3.0
Black Vulpine,Veil Nebula Review,"Doom Metal, Progressive Metal, Stoner Metal",3.0
Iron Savior,Kill or Get Killed Review,"Heavy Metal, Power Metal",3.0
Children of Bodom,Hexed Review,"Melodic Death Metal, Power Metal",3.0
Degraey,Reveries Review,Post-Metal,3.0
BLCKWVS,0160 Review,"Instrumental Metal, Post-Metal",3.0
Chrome Waves,A Grief Observed Review,Black Metal,3.0
Werian,Animist Review,"Black Metal, Doom Metal",3.0
Lucifera,La Caceria De Brujas Review,"Black Metal, Thrash Metal",3.0
Traveler,Traveler Review,"Heavy Metal, NWOBHM, Retro Metal",3.0
Rhapsody of Fire,The Eighth Mountain Review,Power Metal,3.0
Opprobrium,The Fallen Entities Review,"Death Metal, Thrash Metal",3.0
Chainbreaker,Lethal Desire Review,"Heavy Metal, Speed Metal, Thrash Metal",3.0
Hellnite,Midnight Terrors Review,"Hardcore, Thrash Metal",3.0
Hexvessel,All Tree Review,"Not Metal, Progressive Rock",3.0
Witchgöat,Egregors of the Black Faith Review,"Black Metal, Thrash Metal",3.0
Trauma,As the World Dies Review,"Heavy Metal, NWOBHM, Thrash Metal",3.0
Seer,Vol. 6 Review,"Black Metal, Doom Metal, Heavy Metal, Sludge Metal",3.0
Gloryful,Cult of Sedna Review,Heavy Metal,3.0
Critical Defiance,Misconception Review,Thrash Metal,3.0
Saor,Forgotten Paths Review,"Black Metal, Folk Metal",3.0
Electrocution,Psychonolatry Review,Death Metal,3.0
Ad Patres,A Brief Introduction to Human Experiments Review,"Death Metal, Melodic Death Metal",3.0
Asgrauw,Gronspech Review,"Black Metal, Melodic Black Metal",3.0
Lord Divine,Facing Chaos Review,"Heavy Metal, Power Metal, Progressive Metal",3.0
Secret Rule,The 7 Endless Review,"Heavy Metal, Pop Metal",3.0
Hollow,Between Eternities of Darkness Review,"Power Metal, Progressive Metal",3.0
Lugnet,Nightwalker Review,"Hard Rock, Heavy Metal",3.0
Inferno,Basado en Hechos Reales Review,,3.0
Gorgon,The Veil of Darkness Review,Black Metal,3.0
Swallow the Sun,When a Shadow is Forced Into the Light Review,"Black Metal, Death Metal, Doom Metal, Gothic Metal",3.0
Horrisonous,A Culinary Cacophony Review,Death Metal,3.0
Evergrey,The Atlantic Review,"Heavy Metal, Progressive Metal",3.0
Wolfhorde,Hounds of Perdition Review,"Black Metal, Folk Metal",3.0
Leach,Hymns for the Hollow Review,"Metalcore, Thrash Metal",3.0
Lahmia,Resilience Review,Melodic Death Metal,3.0
Flight,A Leap through Matter Review,"Hard Rock, Heavy Metal",3.0
Splendidula,Post Mortem Review,"Doom Metal, Gothic Metal, Stoner Metal",3.0
Mo’ynoq,Dreaming in a Dead Language Review,Black Metal,3.0
Saqra’s Cult,The 9th King Review,Black Metal,3.0
Lost in Grey,The Waste Land Review,"Folk Metal, Power Metal, Symphonic Metal",3.0
Deathchant,Deathchant Review,"Psychedelic Rock, Stoner Rock",3.0
Vanha,Melancholia Review,"Death Metal, Doom Metal",3.0
Virgin Black,Requiem – Pianissimo Review,Non-metal Metal Things,3.0
Kosm,Cosmonaut Review,"Progressive Metal, Sludge Metal",3.0
Metal Church,Damned if You Do Review,Heavy Metal,3.0
Master,Vindictive Miscreant Review,"Death Metal, Thrash Metal",3.0
Gorycz,Piach Review,"Black Metal, Doom Metal",3.0
Chapel of Disease,"And as We Have Seen the Storm, We Have Embraced the Eye Review",Death Metal,3.0
New Light Choir,Torchlight Review,"Occult Rock, Psychedelic Rock",3.0
Spearhead,Pacifism Is Cowardice Review,"Black Metal, Death Metal",3.0
Blackrat,Dread Reverence Review,"Black Metal, Crust Punk, Thrash Metal",3.0
In the Woods…,Cease the Day Review,"Black Metal, Progressive Metal",3.0
Pale Divine,Pale Divine Review,Doom Metal,3.0
Manam,Rebirth of Consciousness Review,Melodic Death Metal,3.0
Ravaged Spleen Outburst,The Church of Anemia,"Death Metal, Melodic Death Metal",3.0
The Great Sabatini,Goodbye Audio Review,Sludge Metal,3.0
Vouna,Vouna Review,Black Metal,3.0
Hex A.D.,Netherworld Triumphant Review,"Doom Metal, Progressive Metal",3.0
Mentor,"Cults, Crypts and Corpses Review","Black Metal, Thrash Metal",3.0
Deceased,Ghostly White Review,"Death Metal, Heavy Metal, Thrash Metal",3.0
Leonov,Wake Review,Doom Metal,3.0
Flageladör,Predileção pelo Macabro Review,"Speed Metal, Thrash Metal",3.0
Zealot Cult,Spiritual Sickness Review,Death Metal,3.0
Evoken,Hypnagogia Review,Doom Metal,3.0
Third Storm,The Grand Manifestation Review,"Black Metal, Death Metal",3.0
Totenmesse,To Review,"Black Metal, Death Metal",3.0
Noise Trail Immersion,Symbology of Shelter Review,"Black Metal, Mathcore",3.0
Night Gaunt,The Room Review,Doom Metal,3.0
Paths,In Lands Thought Lost Review,Black Metal,3.0
Eisregen,Fegefeuer Review,Black Metal,3.0
Total Fucking Destruction,#USA4TFD Review,,3.0
Serocs,The Phobos/Deimos Suite Review,"Death Metal, Technical Death Metal",3.0
Abyssous,Mesa Review,"Death Metal, Doom Metal",3.0
Striker,Play to Win Review,Heavy Metal,3.0
Chthonic,Battlefields of Asura Review,"Folk Metal, Melodic Death Metal",3.0
Bloodbath,The Arrow of Satan Is Drawn Review,Death Metal,3.0
Haken,Vector Review,"Djent, Progressive Metal, Progressive Rock",3.0
Carcharodon,Bukkraken Review,Sludge Metal,3.0
Ruin,Human Annihilation Review,Death Metal,3.0
Rising,Sword and Scythe Review,"Hard Rock, Progressive Rock",3.0
Black Lotus,Sons of Saturn Review,"Doom Metal, Epic Metal, Heavy Metal",3.0
Internal Bleeding,Corrupting Influence Review,"Death Metal, Slam",3.0
Green Death,Hallowmass Review,"Doom Metal, Heavy Metal, Thrash Metal",3.0
Castle,Deal Thy Fate Review,"Doom Metal, Occult Rock",3.0
Rodent Epoch,Rodentlord Review,Black Metal,3.0
DungeönHammer,Infernal Moon Review,"Black Metal, Thrash Metal",3.0
Gama Bomb,Speed Between the Lines Review,Thrash Metal,3.0
Beyond Creation,Algorythm Review,"Death Metal, Technical Death Metal",3.0
Deathhammer,Chained to Hell Review,"Speed Metal, Thrash Metal",3.0
The Necromancers,Of Blood and Wine Review,"Doom Metal, Progressive Metal",3.0
Windhand,Eternal Return Review,Doom Metal,3.0
Hammer King,Poseidon Will Carry Us Home Review,Power Metal,3.0
Bonehunter,Children of the Atom Review,"Black Metal, Thrash Metal",3.0
Ambassador,Belly of the Whale Review,"Alt-Metal, Progressive Metal, Progressive Rock",3.0
Cataya,Firn Review,"Ambient Metal, Instrumental Metal",3.0
Dunbarrow,II Review,Doom Metal,3.0
